crime_type,year,loss
Advanced Fee,2020,83215405
BEC/EAC,2020,1866642107
Charity,2020,4428766
Civil Matter,2020,24915958
Confidence Fraud/Romance,2020,600249821
Corporate Data Breach,2020,128916648
Credit Card Fraud,2020,129820792
Crimes Against Children,2020,660044
Denial of Service/TDoS,2020,512127
Employment,2020,62314015
Extortion,2020,70935939
Gambling,2020,3961508
Government Impersonation,2020,109938030
Hacktivist,2020,50
Harassment/Threats of Violence,2020,6547449
Health Care Related,2020,29042515
Identity Theft,2020,219484699
Investment,2020,336469000
IPR/Copyright and Counterfeit,2020,5910617
Lottery/Sweepstakes/Inheritance,2020,61111319
Malware/Scareware/Virus,2020,6904054
Misrepresentation,2020,19707242
Non-Payment/Non-Delivery,2020,265011249
Other,2020,101523082
Overpayment,2020,51039922
Personal Data Breach,2020,194473055
Phishing/Vishing/Smishing/Pharming,2020,54241075
Ransomware,2020,29157405
Real Estate/Rental,2020,213196082
Re-Shipping,2020,3095265
Spoofing,2020,216513728
Tech Support,2020,146477709
Terrorism,2020,0
Advanced Fee,2019,100602297
BEC/EAC,2019,1776549688
Charity,2019,2214383
Civil Matter,2019,20242867
Confidence Fraud/Romance,2019,475014032
Corporate Data Breach,2019,53398278
Credit Card Fraud,2019,111491163
Crimes Against Children,2019,975311
Denial of Service/TDoS,2019,7598198
Employment,2019,42618705
Extortion,2019,107498956
Gambling,2019,1458118
Government Impersonation,2019,124292606
Hacktivist,2019,129000
Harassment/Threats of Violence,2019,19866654
Health Care Related,2019,1128838
Identity Theft,2019,160305789
Investment,2019,222186195
IPR/Copyright and Counterfeit,2019,10293307
Lottery/Sweepstakes/Inheritance,2019,48642332
Malware/Scareware/Virus,2019,2009119
Misrepresentation,2019,12371573
Non-Payment/Non-Delivery,2019,196563497
Other,2019,66223160
Overpayment,2019,55820212
Personal Data Breach,2019,120102501
Phishing/Vishing/Smishing/Pharming,2019,57836379
Ransomware,2019,8965847
Real Estate/Rental,2019,221365911
Re-Shipping,2019,1772692
Spoofing,2019,300478433
Tech Support,2019,54041053
Terrorism,2019,49589
Advanced Fee,2018,92271682
BEC/EAC,2018,1297803489
Charity,2018,1006379
Civil Matter,2018,15172692
Confidence Fraud/Romance,2018,362500761
Corporate Data Breach,2018,117711989
Credit Card Fraud,2018,88991436
Crimes Against Children,2018,265996
Denial of Service/TDoS,2018,2052340
Employment,2018,45487120
Extortion,2018,83357901
Gambling,2018,926953
Government Impersonation,2018,64211765
Hacktivist,2018,77612
Harassment/Threats of Violence,2018,21903829
Health Care Related,2018,4474792
Identity Theft,2018,100429691
Investment,2018,252955320
IPR/Copyright and Counterfeit,2018,15802011
Lottery/Sweepstakes/Inheritance,2018,60214814
Malware/Scareware/Virus,2018,7411651
Misrepresentation,2018,20000713
Non-Payment/Non-Delivery,2018,183826809
Other,2018,63126929
Overpayment,2018,53225507
Personal Data Breach,2018,148892403
Phishing/Vishing/Smishing/Pharming,2018,48241748
Ransomware,2018,3621857
Real Estate/Rental,2018,149458114
Re-Shipping,2018,1684179
Spoofing,2018,70000248
Tech Support,2018,38697026
Terrorism,2018,10193
