state,subjects,population,per_cap
California,26379,39512223,66.76161956263509
Utah,1251,3205958,39.021097593917325
Florida,19364,21477737,90.15847433088504
Louisiana,1246,4648794,26.80265032178238
Texas,12914,28995881,44.53736032369563
District of Columbia,1174,705749,166.34809259382584
New Jersey,10616,8882190,119.5200733152522
Kentucky,1146,4467673,25.650937300021734
New York,10052,19453561,51.671773615123726
Delaware,1096,973764,112.55293890511457
Maryland,7279,6045680,120.40002117214274
Kansas,1090,2913314,37.41443593103936
Illinois,4780,12671821,37.72149243585433
Connecticut,969,3565287,27.17873764440282
Georgia,4321,10617423,40.697257705565654
New Mexico,890,2096829,42.44504439799335
Pennsylvania,4066,12801989,31.76068968657917
Mississippi,824,2976149,27.686785843047506
Virginia,3929,8535519,46.031178654748466
Arkansas,784,3017825,25.978974923993274
Washington,3807,7614893,49.994136490164735
Iowa,721,3155070,22.85210787716279
Ohio,3708,11689100,31.721860536739356
Maine,691,1344212,51.405581857623645
Nevada,3707,3080156,120.3510471547545
Hawaii,490,1415872,34.60764814898522
Arizona,3005,7278717,41.28474839727936
West Virginia,449,1792147,25.05374838113168
North Carolina,2940,10488084,28.0318121021914
Idaho,448,1787065,25.069037779823343
Michigan,2793,9986857,27.966756708341777
North Dakota,425,762062,55.76974051980022
Colorado,2502,5758736,43.44703421028503
New Hampshire,360,1359711,26.476214430860676
Tennessee,2480,6833174,36.29352918570491
Puerto Rico,330,3193694,10.332862196566108
Indiana,2211,6732219,32.842068863178696
Rhode Island,330,1059361,31.150854146981057
Massachusetts,2192,6949503,31.541823926113857
Alaska,292,731545,39.91552125979946
Missouri,1824,6137428,29.719289578631308
Wyoming,277,578759,47.86102678316882
Nebraska,1734,1934408,89.63982779227547
South Dakota,213,884659,24.077073765145666
Oklahoma,1721,3956971,43.492863607036796
Vermont,172,623989,27.564588478322534
Minnesota,1699,5639632,30.126079148426705
U.S. Minor Outlying Islands,32,360,8888.888888888889
Alabama,1574,4903185,32.1015829506739
Guam,22,165718,13.275564513209186
Oregon,1543,4217737,36.583599214460264
U.S. Virgin Islands,18,104914,17.156909468707703
Montana,1507,1068778,141.0021538617
American Samoa,6,55641,10.783415107564565
Wisconsin,1342,5822434,23.048779943233363
Northern Mariana Islands,2,55194,3.6235822734355185
South Carolina,1341,5148714,26.04533870011036
