state,loss,population,per_cap
California,233907224,39512223,591987.0010857147
Oregon,9473549,4217737,224612.13205090788
New York,142689230,19453561,733486.4295539516
Missouri,9322612,6137428,151897.70046996884
Texas,135573752,28995881,467562.1064936775
Utah,9225351,3205958,287756.4522055498
Florida,125049181,21477737,582226.9869493234
Kansas,9205096,2913314,315966.490395474
Ohio,83544428,11689100,714720.7911644181
Wisconsin,8357864,5822434,143545.87789230415
Georgia,63933271,10617423,602154.3174836305
Kentucky,6623738,4467673,148259.23920573416
Illinois,52691430,12671821,415815.76949358743
Iowa,6253965,3155070,198219.53237170647
Washington,47175498,7614893,619516.2295780125
Maine,6138289,1344212,456645.9010929823
Colorado,42901870,5758736,744987.6153378102
Alaska,5785807,731545,790902.4051835499
New Jersey,38491372,8882190,433354.5218014926
New Mexico,5711844,2096829,272403.90131956397
Maryland,29971760,6045680,495754.9853779889
Delaware,5673719,973764,582658.5291713392
Nevada,29127283,3080156,945643.1102840245
Nebraska,5651920,1934408,292178.27883259376
Arizona,28473605,7278717,391189.88964676054
Mississippi,3978526,2976149,133680.3365691704
Pennsylvania,28431645,12801989,222087.71621347277
New Hampshire,3595627,1359711,264440.5318483119
Virginia,25657584,8535519,300597.8195350511
Idaho,3582262,1787065,200455.04780184268
Michigan,24395899,9986857,244280.04726612187
Hawaii,3168489,1415872,223783.57648148984
North Dakota,22018169,762062,2889288.404355551
Arkansas,2546501,3017825,84381.99696801505
North Carolina,20552835,10488084,195963.67649229354
South Dakota,2486492,884659,281067.8464809605
District of Columbia,14479130,705749,2051597.6643254189
Wyoming,2337866,578759,403944.6470810821
Massachusetts,14295694,6949503,205708.14920146088
Rhode Island,2013255,1059361,190044.28141115257
Oklahoma,13036365,3956971,329453.1347336132
Vermont,1506113,623989,241368.51771425456
Indiana,12864230,6732219,191084.5443382041
Puerto Rico,1422863,3193694,44552.26455634134
Connecticut,12533843,3565287,351552.14713429805
West Virginia,1352504,1792147,75468.36280729204
Tennessee,12017224,6833174,175865.91531256193
U.S. Virgin Islands,248287,104914,236657.64340316833
Louisiana,11932340,4648794,256676.03253661055
U.S. Minor Outlying Islands,225488,360,62635555.55555556
Minnesota,11920258,5639632,211365.8834477143
Guam,12520,165718,7555.003077517228
Alabama,10739652,4903185,219034.19919909202
American Samoa,494,55641,887.8345105228159
Montana,10262099,1068778,960171.2422972778
Northern Mariana Islands,315,55194,570.7142080660941
South Carolina,10063305,5148714,195452.78685124093
